#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
1	NM_001002949	chr1	+	16743048	16909853	16743703	16909650	5	16743048,16743421,16743942,16744015,16909515,	16743195,16743859,16744011,16744269,16909853,	0	BCL2	cmpl	cmpl	-1,0,2,1,0,
2	NM_001197157	chr1	-	75336507	75504191	75336644	75504048	25	75336507,75340350,75343575,75345120,75346232,75348507,75352583,75361490,75368056,75372946,75374521,75375626,75377038,75378214,75378774,75381292,75382737,75383930,75384329,75385182,75385298,75385546,75387638,75413981,75503986,	75337877,75340539,75343696,75345259,75346430,75348696,75352806,75361568,75368155,75373144,75374719,75375725,75377137,75378313,75378894,75381385,75382827,75383976,75384482,75385209,75385347,75385676,75387777,75414203,75504191,	0	DAPK1	cmpl	cmpl	0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,2,2,0,
2	NM_001003249	chr1	+	83802421	83996931	83802460	83996709	6	83802421,83903861,83920025,83922795,83983673,83996518,	83802607,83904016,83920154,83922925,83983827,83996931,	0	GNAQ	cmpl	cmpl	0,0,2,2,0,1,
11	NM_001003268	chr1	+	23067254	23423773	23071961	23423361	20	23067254,23071961,23188292,23191403,23247299,23298544,23299151,23372186,23375873,23381806,23381867,23389752,23390944,23393817,23396639,23417364,23419072,23422499,23423224,23423587,	23067781,23072034,23188354,23191500,23247364,23298671,23299201,23372292,23376007,23381867,23381938,23389820,23391023,23393894,23396843,23417500,23419223,23422729,23423365,23423773,	0	TCF4	cmpl	cmpl	-1,0,1,0,1,0,1,0,1,0,2,1,0,1,0,0,1,2,1,-1,
13	NM_001012395	chr1	+	38777103	39263723	38777103	39263723	73	38777103,38874656,38890966,38892500,38892920,38893324,38895877,38897072,38901660,38902782,38903677,38905063,38907018,38910366,38910760,38911808,38916094,38919351,38924760,38925164,38927731,38928545,38940268,38941044,38944915,38946915,38951673,38953642,38955060,38955679,38956710,38958580,38964697,38971933,38974607,38975044,38978726,38979253,38984043,38985097,38996555,38997973,39001976,39004068,39007368,39015310,39018051,39021367,39023038,39035632,39119741,39131472,39158915,39173158,39178907,39181535,39184947,39198695,39200410,39207162,39213233,39217961,39219676,39220753,39236819,39242113,39242377,39243503,39252506,39253052,39256344,39257665,39263700,	38777182,38874718,38891059,38892578,38893013,38893497,38895993,38897233,38901864,38902964,38903828,38905183,38907120,38910474,38910940,38911978,38916218,38919439,38925002,38925345,38927877,38928758,38940379,38941200,38945086,38947095,38951808,38953792,38955222,38955808,38956884,38958736,38964868,38972113,38974736,38975215,38978888,38979391,38984235,38985270,38996706,38998149,39002112,39004218,39007444,39015525,39018169,39021573,39023193,39035822,39119914,39131629,39159045,39173427,39179054,39181614,39185008,39198757,39200485,39207364,39213319,39218119,39219843,39220865,39236956,39242152,39242443,39243569,39252665,39253293,39256453,39257758,39263723,	0	UTRN	cmpl	incmpl	0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,2,0,2,0,1,0,0,1,2,1,1,2,1,0,2,0,2,2,2,2,2,0,1,1,
17	NM_001286967	chr1	-	71198245	71316975	71199649	71316963	16	71198245,71200936,71204813,71216825,71218309,71222936,71225195,71227333,71231645,71234421,71244097,71248739,71252496,71255569,71316851,71316948,	71199741,71200998,71204938,71216966,71218516,71223019,71225355,71227411,71231737,71234587,71244273,71248803,71252732,71255763,71316948,71316975,	0	ARHGAP18	cmpl	cmpl	1,2,0,0,0,1,0,0,1,0,1,0,1,2,1,0,
19	NM_001003204	chr1	-	91193245	91297764	91194053	91230775	24	91193245,91195455,91196662,91198180,91199511,91200941,91206085,91206675,91207348,91208270,91209172,91210756,91214389,91215320,91217132,91217367,91219148,91219927,91223881,91226072,91227767,91230730,91291605,91297497,	91194219,91195541,91196992,91198291,91199724,91201042,91206296,91206755,91207444,91208458,91209383,91210865,91214540,91215387,91217266,91217476,91219302,91220031,91224512,91226175,91227892,91230784,91291726,91297764,	0	TJP2	cmpl	cmpl	2,0,0,0,0,1,0,1,1,2,1,0,2,1,2,1,0,1,0,2,0,0,-1,-1,
90	NM_001286988	chr1	-	18192675	18244206	18193818	18243931	11	18192675,18198525,18203116,18208468,18211306,18217661,18227167,18231631,18234287,18234937,18243685,	18194324,18198777,18203234,18208590,18211443,18217915,18227355,18231799,18234407,18235232,18244206,	0	CDH20	cmpl	cmpl	1,1,0,1,2,0,1,1,1,0,0,
116	NM_001286958	chr1	+	45127474	45414049	45129692	45409811	9	45127474,45129617,45176524,45206358,45253976,45332497,45371422,45404785,45409576,	45127590,45130147,45176715,45206475,45254312,45332636,45371556,45404969,45414049,	0	ESR1	cmpl	cmpl	-1,0,2,1,1,1,2,1,2,
117	NM_001314122	chr1	+	47018135	47082698	47018135	47082698	4	47018135,47064158,47065236,47082659,	47018428,47064511,47065757,47082698,	0	OPRM1	cmpl	cmpl	0,2,1,0,
121	NM_001286989	chr1	-	51202628	51252419	51203784	51252280	13	51202628,51204059,51205877,51206333,51207119,51207582,51212703,51219279,51220332,51221056,51222246,51227424,51252268,	51203949,51204311,51205970,51206494,51207250,51207746,51212800,51219426,51220416,51221331,51222342,51227508,51252419,	0	EZR	cmpl	cmpl	0,0,0,1,2,0,2,2,2,0,0,0,0,
122	NM_001122602	chr1	+	52203895	52304596	52204020	52303183	48	52203895,52223037,52233547,52235294,52241025,52244162,52245982,52248732,52249058,52250062,52255737,52258361,52259685,52260915,52261659,52262306,52263142,52263723,52265149,52267822,52269529,52271404,52273061,52273986,52274210,52274668,52275233,52276337,52276719,52278855,52279822,52281597,52282615,52283035,52283609,52285717,52288227,52289521,52290084,52291463,52292473,52295044,52296251,52297075,52299067,52300622,52301785,52302766,	52204175,52223177,52233669,52235393,52241158,52244292,52246088,52248895,52249233,52250166,52255902,52258502,52259826,52261053,52261807,52262484,52263258,52263892,52265329,52267924,52269631,52271600,52273232,52274130,52274386,52274756,52275449,52276468,52276817,52278992,52280013,52281724,52282735,52283292,52283828,52285867,52288389,52289729,52290231,52291698,52292610,52295159,52296398,52297263,52299254,52300775,52301855,52304596,	0	IGF2R	cmpl	cmpl	0,2,1,0,0,1,2,0,1,2,1,1,1,1,1,2,0,2,0,0,0,0,1,1,1,0,1,1,0,2,1,0,1,1,0,0,0,0,1,1,2,1,2,2,1,2,2,0,
123	NM_001286960	chr1	-	52541712	52579744	52541977	52579704	19	52541712,52542758,52546554,52547532,52548274,52549791,52551193,52552260,52554196,52558867,52562243,52563106,52564424,52566369,52568665,52570601,52573899,52575235,52579655,	52542139,52542904,52546661,52547673,52548349,52549912,52551287,52552409,52554378,52559033,52562389,52563269,52564543,52566490,52568805,52570716,52574006,52575371,52579744,	0	PLG	cmpl	cmpl	0,1,2,2,2,1,0,1,2,1,2,1,2,1,2,1,2,1,0,
125	NM_001003021	chr1	+	54844271	55000869	54844286	55000766	10	54844271,54846266,54846277,54884342,54907093,54960067,54991928,54993556,54996612,55000749,	54844386,54846277,54846280,54884487,54907210,54960211,54992016,54993856,54996687,55000869,	0	QKI	cmpl	cmpl	0,2,2,2,0,0,0,1,1,1,
129	NM_001177803	chr1	+	58876173	59035843	58876267	59034371	13	58876173,58921424,58932176,58933537,58945896,58949365,58950648,58988874,58997634,59025277,59027394,59031856,59034353,	58876351,58921596,58932283,58933637,58945944,58949416,58950723,58989061,58997717,59025377,59027642,59031894,59035843,	0	SMOC2	cmpl	cmpl	0,0,1,0,1,1,1,1,2,1,2,1,0,
